Participant,Group,StartTime,EndTime,Duration,Phase,Details,Option
P01_X,G05,00:00:00,00:00:15,00:00:15,Mounting,,X
P01_X,G05,00:00:13,00:00:13,00:00:00,Distinct Item,turntable,X
P01_X,G05,00:00:15,00:00:45,00:00:30,Mapping,,X
P01_X,G05,00:00:45,00:00:47,00:00:02,Testing,,X
P01_X,G05,00:00:47,00:01:08,00:00:21,Mapping,,X
P01_X,G05,00:01:08,00:01:16,00:00:08,Testing,,X
P01_X,G05,00:01:16,00:01:34,00:00:18,Mounting,,X
P01_X,G05,00:01:33,00:01:33,00:00:00,Distinct Item,onetap,X
P01_X,G05,00:01:34,00:01:56,00:00:22,Mapping,,X
P01_X,G05,00:01:56,00:01:59,00:00:03,Testing,,X
P01_X,G05,00:01:59,00:02:32,00:00:33,Mapping,,X
P01_X,G05,00:02:32,00:02:43,00:00:11,Testing,,X
P01_X,G05,00:02:43,00:02:51,00:00:08,Mapping,,X
P01_X,G05,00:02:51,00:02:57,00:00:06,Consulting,,X
P01_X,G05,00:02:57,00:03:06,00:00:09,Mounting,,X
P01_X,G05,00:03:04,00:03:04,00:00:00,Distinct Item,threetaps,X
P01_X,G05,00:03:06,00:03:33,00:00:27,Mapping,,X
P01_X,G05,00:03:33,00:03:42,00:00:09,Testing,,X
P01_X,G05,00:03:42,00:03:50,00:00:08,Mounting,,X
P01_X,G05,00:03:50,00:04:08,00:00:18,Testing,,X
P01_X,G05,00:04:08,00:04:41,00:00:33,Consulting,,X
P01_X,G05,00:04:41,00:04:52,00:00:11,Testing,,X
P01_X,G05,00:04:52,00:05:19,00:00:27,Consulting,,X
P01_X,G05,00:05:19,00:05:49,00:00:30,Testing,,X
P01_X,G05,00:05:49,00:06:03,00:00:14,Consulting,,X
P01_X,G05,00:06:03,00:06:08,00:00:05,Mapping,,X
P01_X,G05,00:06:08,00:06:14,00:00:06,Testing,,X
P01_X,G05,00:06:14,00:06:23,00:00:09,Planning,,X
P01_X,G05,00:06:23,00:06:28,00:00:05,Mounting,,X
P01_X,G05,00:06:26,00:06:26,00:00:00,Distinct Item,turntable,X
P01_X,G05,00:06:28,00:06:48,00:00:20,Mapping,,X
P01_X,G05,00:06:48,00:07:16,00:00:28,Testing,,X
P01_X,G05,00:07:16,00:07:27,00:00:11,Mounting,,X
P01_X,G05,00:07:27,00:07:29,00:00:02,Testing,,X
