x1,y1,x2,y2,page,file
295.1379,697.5524506,299.5659,706.5524506,8,"/Users/fcac/Dropbox/Mendeley Organized Folder/Cadoz, Wanderley, 2000.pdf"
66.4144,735.12937,235.6547213,747.93417,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,663.10237,184.8192652,675.90717,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,749.53477,221.4493963,762.33957,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,735.12937,235.6547213,747.93417,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,720.72397,209.3386165,733.52877,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,706.31857,182.6723004,719.12337,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,691.91317,142.1657561,704.71797,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,486.23607,578.4581844,499.04087,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,471.83067,179.8048255,484.63547,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,691.91317,142.1657561,704.71797,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,648.69697,328.1061776,661.50177,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,38.07987004,203.66585,50.88467004,3,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,720.72397,209.3386165,733.52877,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,677.50777,288.2912526,690.31257,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,706.31857,182.6723004,719.12337,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
66.4144,749.53477,221.4493963,762.33957,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Mulder, 1996.pdf"
150.261,484.7463357,447.8239368,494.7089357,190,"/Users/fcac/Dropbox/Mendeley Organized Folder/Aceituno, 2015.pdf"
150.261,496.7023357,524.4101552,506.9047015,190,"/Users/fcac/Dropbox/Mendeley Organized Folder/Aceituno, 2015.pdf"
303.51,378.6636839,478.3640064,388.6286839,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
303.51,390.6635369,530.2269096,400.6285369,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
303.51,402.5438099,530.3850828,412.5088099,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
303.51,414.5436629,530.27466,424.5086629,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
303.51,426.5435159,530.403984,436.5085159,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
400.8292944,438.4237889,530.3631972,448.3887889,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
58.71,456.4235684,282.7628352,466.3885684,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
58.71,468.4234214,285.6895368,478.3884214,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
