itens,entrevistado,mapping,mounting,testing,tempo_total,session
6,Andre-X,00:03:31,00:00:53,00:07:51,00:12:15,X
6,Carlos-X,00:07:32,00:01:18,00:07:34,00:16:24,X
7,Dolores-X,00:10:26,00:01:03,00:10:41,00:22:10,X
12,Fernando-X,00:06:34,00:02:34,00:12:43,00:21:51,X
8,Helder-X,00:06:48,00:01:23,00:08:05,00:16:16,X
10,Hermano-X,00:08:19,00:02:51,00:12:13,00:23:23,X
11,Jeff-X,00:08:38,00:03:58,00:09:20,00:21:56,X
9,JoaoMarcelo-X,00:05:20,00:01:39,00:18:02,00:25:01,X
8,Leo-X,00:07:31,00:02:35,00:12:26,00:22:32,X
9,Miguel-X,00:08:37,00:02:10,00:13:40,00:24:27,X
6,Missionario-X,00:03:06,00:02:08,00:07:30,00:12:44,X
11,Pedro-X,00:07:36,00:02:03,00:11:50,00:21:29,X
12,Renato-X,00:09:29,00:03:49,00:09:48,00:23:06,X
8,Sergio-X,00:09:22,00:01:56,00:13:46,00:25:04,X
8,SofiaFreire-X,00:08:14,00:01:54,00:10:14,00:20:22,X
10,SofiaGalvao-X,00:06:37,00:02:54,00:06:46,00:16:17,X
5,Tomas-X,00:07:40,00:04:13,00:09:07,00:21:00,X
6,William-X,00:04:47,00:01:30,00:04:09,00:10:26,X
9,Yuri-X,00:11:14,00:01:12,00:12:15,00:24:41,X
3,Andre-Y,00:01:04,00:06:29,00:03:58,00:11:31,Y
4,Carlos-Y,00:02:09,00:09:25,00:03:39,00:15:13,Y
1,Dolores-Y,00:16:55,00:02:13,00:05:41,00:24:49,Y
7,Fernando-Y,00:03:54,00:10:53,00:09:04,00:23:51,Y
2,Helder-Y,00:06:45,00:09:04,00:04:56,00:20:45,Y
7,Hermano-Y,00:05:19,00:12:45,00:06:08,00:24:12,Y
11,Jeff-Y,00:02:52,00:15:59,00:05:05,00:23:56,Y
6,JoaoMarcelo-Y,00:07:57,00:09:15,00:08:05,00:25:17,Y
7,Leo-Y,00:04:03,00:12:04,00:07:39,00:23:46,Y
9,Miguel-Y,00:03:15,00:12:31,00:10:34,00:26:20,Y
5,Missionario-Y,00:02:05,00:07:02,00:05:09,00:14:16,Y
6,Pedro-Y,00:02:33,00:07:59,00:10:46,00:21:18,Y
7,Renato-Y,00:05:03,00:09:06,00:10:14,00:24:23,Y
6,Sergio-Y,00:03:01,00:15:35,00:05:08,00:23:44,Y
4,SofiaFreire-Y,00:05:20,00:14:55,00:03:50,00:24:05,Y
6,SofiaGalvao-Y,00:05:15,00:11:24,00:04:42,00:21:21,Y
5,Tomas-Y,00:06:46,00:07:48,00:09:26,00:24:00,Y
3,William-Y,00:03:16,00:05:32,00:02:48,00:11:36,Y
9,Yuri-Y,00:01:30,00:15:05,00:03:44,00:20:19,Y
