ordem,entrevistado,startTime,endTime,duracao,fase
1,1-William-X,00:00:00,00:00:15,00:00:15,Mounting
2,1-William-X,00:00:15,00:00:45,00:00:30,Mapping
3,1-William-X,00:00:45,00:00:47,00:00:02,Testing
4,1-William-X,00:00:47,00:01:08,00:00:21,Mapping
5,1-William-X,00:01:08,00:01:16,00:00:08,Testing
6,1-William-X,00:01:16,00:01:34,00:00:18,Mounting
7,1-William-X,00:01:34,00:01:56,00:00:22,Mapping
8,1-William-X,00:01:56,00:01:59,00:00:02,Testing
9,1-William-X,00:01:59,00:02:32,00:00:34,Mapping
10,1-William-X,00:02:32,00:02:43,00:00:11,Testing
11,1-William-X,00:02:43,00:02:51,00:00:08,Mapping
12,1-William-X,00:02:51,00:02:57,00:00:06,Consulting
13,1-William-X,00:02:57,00:03:06,00:00:09,Mounting
14,1-William-X,00:03:06,00:03:33,00:00:27,Mapping
15,1-William-X,00:03:33,00:03:42,00:00:09,Testing
16,1-William-X,00:03:42,00:03:50,00:00:08,Mounting
17,1-William-X,00:03:50,00:04:08,00:00:18,Testing
18,1-William-X,00:04:08,00:04:41,00:00:34,Consulting
19,1-William-X,00:04:41,00:04:52,00:00:11,Testing
20,1-William-X,00:04:52,00:05:19,00:00:27,Consulting
21,1-William-X,00:05:19,00:05:49,00:00:29,Testing
22,1-William-X,00:05:49,00:06:03,00:00:14,Consulting
23,1-William-X,00:06:03,00:06:08,00:00:05,(null)
24,1-William-X,00:06:08,00:06:14,00:00:06,Testing
25,1-William-X,00:06:14,00:06:23,00:00:09,(null)
26,1-William-X,00:06:23,00:06:28,00:00:05,Mounting
27,1-William-X,00:06:28,00:06:48,00:00:20,Mapping
28,1-William-X,00:06:48,00:07:16,00:00:28,Testing
29,1-William-X,00:07:16,00:07:27,00:00:10,Mounting
30,1-William-X,00:07:27,00:07:29,00:00:02,Testing
31,1-William-X,00:07:29,00:07:42,00:00:13,Consulting
32,1-William-X,00:07:42,00:07:50,00:00:08,Mapping
33,1-William-X,00:07:50,00:07:57,00:00:07,Mounting
34,1-William-X,00:07:57,00:08:10,00:00:13,Mapping
35,1-William-X,00:08:10,00:08:18,00:00:08,Testing
36,1-William-X,00:08:18,00:08:37,00:00:19,Mapping
37,1-William-X,00:08:37,00:08:39,00:00:03,Testing
38,1-William-X,00:08:39,00:09:06,00:00:26,Consulting
39,1-William-X,00:09:06,00:09:19,00:00:14,Testing
40,1-William-X,00:09:19,00:09:36,00:00:17,Consulting
41,1-William-X,00:09:36,00:09:57,00:00:21,Testing
42,1-William-X,00:09:58,00:10:04,00:00:07,Mounting
43,1-William-X,00:10:04,00:10:14,00:00:10,Mapping
44,1-William-X,00:10:14,00:10:36,00:00:22,Testing
45,1-William-X,00:10:36,00:11:13,00:00:37,Consulting
46,1-William-X,00:11:13,00:11:24,00:00:11,Mounting
47,1-William-X,00:11:24,00:11:36,00:00:12,Mapping
48,1-William-X,00:11:36,00:11:47,00:00:11,Testing
49,1-William-X,00:11:47,00:11:59,00:00:12,Mapping
50,1-William-X,00:11:59,00:12:10,00:00:11,Testing
51,1-William-X,00:12:10,00:13:01,00:00:51,Consulting
52,1-William-X,00:13:01,00:13:21,00:00:19,Testing
53,1-William-X,00:13:21,00:13:26,00:00:05,Consulting
54,1-William-X,00:13:26,00:13:48,00:00:22,Testing
55,1-William-X,00:13:48,00:13:54,00:00:06,Adjusting GUI
56,1-William-X,00:13:54,00:14:05,00:00:11,Testing
57,1-William-X,00:14:05,00:14:58,00:00:53,Consulting
58,1-William-X,00:14:58,00:15:52,00:00:54,Mapping
59,1-William-X,00:15:52,00:16:03,00:00:12,Testing
60,1-William-X,00:16:03,00:16:08,00:00:05,Mapping
61,1-William-X,00:16:08,00:16:27,00:00:19,Testing
62,1-William-Y,00:00:08,00:01:33,00:01:25,Mounting
63,1-William-Y,00:01:33,00:01:44,00:00:11,Mapping
64,1-William-Y,00:01:44,00:03:39,00:01:55,Consulting
65,1-William-Y,00:03:39,00:04:11,00:00:32,Mapping
66,1-William-Y,00:04:11,00:04:15,00:00:04,Testing
67,1-William-Y,00:04:15,00:04:21,00:00:06,Consulting
68,1-William-Y,00:04:21,00:04:27,00:00:05,Testing
69,1-William-Y,00:04:27,00:04:40,00:00:14,Consulting
70,1-William-Y,00:04:40,00:04:44,00:00:03,Mapping
71,1-William-Y,00:04:44,00:04:50,00:00:06,Testing
72,1-William-Y,00:04:50,00:05:01,00:00:11,Mapping
73,1-William-Y,00:05:01,00:05:11,00:00:10,Testing
74,1-William-Y,00:05:11,00:05:19,00:00:08,Consulting
75,1-William-Y,00:05:19,00:05:36,00:00:18,Testing
76,1-William-Y,00:05:36,00:05:43,00:00:07,Consulting
77,1-William-Y,00:05:43,00:06:46,00:01:03,Mounting
78,1-William-Y,00:06:46,00:06:50,00:00:04,Testing
79,1-William-Y,00:06:50,00:07:02,00:00:12,Mapping
80,1-William-Y,00:07:02,00:07:06,00:00:04,Consulting
81,1-William-Y,00:07:06,00:07:13,00:00:07,Mapping
82,1-William-Y,00:07:13,00:07:23,00:00:10,Testing
83,1-William-Y,00:07:23,00:07:32,00:00:09,Mounting
84,1-William-Y,00:07:32,00:07:38,00:00:06,Testing
85,1-William-Y,00:07:38,00:07:50,00:00:12,Consulting
86,1-William-Y,00:07:50,00:08:05,00:00:15,Mounting
87,1-William-Y,00:08:05,00:08:11,00:00:06,Testing
88,1-William-Y,00:08:11,00:08:47,00:00:37,Mapping
89,1-William-Y,00:08:47,00:09:15,00:00:28,Testing
90,1-William-Y,00:09:15,00:09:29,00:00:14,Mounting
91,1-William-Y,00:09:29,00:10:17,00:00:48,Mapping
92,1-William-Y,00:10:17,00:10:29,00:00:12,Testing
93,1-William-Y,00:10:29,00:10:40,00:00:11,Consulting
94,1-William-Y,00:10:40,00:12:05,00:01:26,Mounting
95,1-William-Y,00:12:05,00:12:10,00:00:05,Consulting
96,1-William-Y,00:12:10,00:12:22,00:00:11,Mounting
97,1-William-Y,00:12:22,00:12:29,00:00:07,Consulting
98,1-William-Y,00:12:29,00:12:31,00:00:02,Mounting
99,1-William-Y,00:12:32,00:12:37,00:00:05,Testing
100,1-William-Y,00:12:37,00:12:51,00:00:13,Mounting
101,1-William-Y,00:12:51,00:12:56,00:00:06,Consulting
102,1-William-Y,00:12:56,00:13:00,00:00:03,Mounting
103,1-William-Y,00:13:00,00:13:13,00:00:13,Testing
104,1-William-Y,00:13:13,00:13:37,00:00:24,Mounting
105,1-William-Y,00:13:38,00:13:47,00:00:09,Consulting
106,1-William-Y,00:13:47,00:13:50,00:00:03,Testing
107,1-William-Y,00:13:50,00:13:56,00:00:07,Mounting
108,1-William-Y,00:13:57,00:14:04,00:00:08,Testing
109,1-William-Y,00:14:05,00:14:27,00:00:22,Mapping
110,1-William-Y,00:14:27,00:14:33,00:00:07,Consulting
111,1-William-Y,00:14:33,00:14:35,00:00:02,Mapping
112,1-William-Y,00:14:36,00:14:42,00:00:06,Consulting
113,1-William-Y,00:14:42,00:14:53,00:00:11,Mapping
114,1-William-Y,00:14:53,00:15:08,00:00:15,Testing
115,1-William-Y,00:15:09,00:15:15,00:00:06,Consulting
116,1-William-Y,00:15:15,00:15:29,00:00:15,Testing
117,1-William-Y,00:15:29,00:15:29,00:00:00,Mounting
118,1-William-Y,00:15:29,00:15:29,00:00:00,Mounting
119,1-William-Y,00:15:29,00:15:29,00:00:00,Mounting
120,1-William-Y,00:15:29,00:15:29,00:00:00,Mounting
121,2-Missionario-X,00:00:00,00:00:53,00:00:53,Mounting
122,2-Missionario-X,00:00:53,00:01:11,00:00:18,Mapping
123,2-Missionario-X,00:01:11,00:01:40,00:00:29,Consulting
124,2-Missionario-X,00:01:40,00:01:53,00:00:13,Mapping
125,2-Missionario-X,00:01:53,00:02:21,00:00:28,Testing
126,2-Missionario-X,00:02:22,00:02:32,00:00:11,Adjusting GUI
127,2-Missionario-X,00:02:32,00:02:40,00:00:08,Consulting
128,2-Missionario-X,00:02:40,00:02:55,00:00:15,Testing
129,2-Missionario-X,00:02:55,00:03:44,00:00:50,Bug
130,2-Missionario-X,00:03:44,00:03:52,00:00:08,Adjusting GUI
131,2-Missionario-X,00:03:52,00:03:54,00:00:02,Testing
132,2-Missionario-X,00:03:54,00:04:06,00:00:12,Mapping
133,2-Missionario-X,00:04:06,00:04:12,00:00:05,Testing
134,2-Missionario-X,00:04:12,00:04:24,00:00:12,Mounting
135,2-Missionario-X,00:04:24,00:04:36,00:00:12,Mapping
136,2-Missionario-X,00:04:36,00:04:40,00:00:05,Testing
137,2-Missionario-X,00:04:40,00:04:44,00:00:03,Mapping
138,2-Missionario-X,00:04:44,00:04:44,00:00:00,Mapping
139,2-Missionario-X,00:04:44,00:04:57,00:00:13,Testing
140,2-Missionario-X,00:04:57,00:05:00,00:00:03,Mounting
141,2-Missionario-X,00:04:59,00:05:05,00:00:06,Mapping
142,2-Missionario-X,00:05:05,00:05:28,00:00:23,Testing
143,2-Missionario-X,00:05:28,00:05:33,00:00:05,Testing
144,2-Missionario-X,00:05:33,00:05:39,00:00:06,Mounting
145,2-Missionario-X,00:05:39,00:05:49,00:00:11,Mapping
146,2-Missionario-X,00:05:50,00:05:56,00:00:07,Testing
147,2-Missionario-X,00:05:56,00:06:00,00:00:04,Mapping
148,2-Missionario-X,00:06:00,00:06:06,00:00:06,Testing
149,2-Missionario-X,00:06:06,00:06:28,00:00:22,Adjusting GUI
150,2-Missionario-X,00:06:28,00:06:42,00:00:14,Testing
151,2-Missionario-X,00:06:43,00:06:49,00:00:06,Consulting
152,2-Missionario-X,00:06:49,00:06:51,00:00:03,Mapping
153,2-Missionario-X,00:06:51,00:07:06,00:00:15,Testing
154,2-Missionario-X,00:07:06,00:07:13,00:00:07,Mapping
155,2-Missionario-X,00:07:13,00:07:31,00:00:18,Testing
156,2-Missionario-X,00:07:31,00:07:34,00:00:04,Mapping
157,2-Missionario-X,00:07:34,00:07:44,00:00:09,Testing
158,2-Missionario-X,00:07:44,00:07:50,00:00:07,Mapping
159,2-Missionario-X,00:07:50,00:07:59,00:00:09,Testing
160,2-Missionario-X,00:07:59,00:08:22,00:00:23,Mounting
161,2-Missionario-X,00:08:22,00:08:26,00:00:03,Mapping
162,2-Missionario-X,00:08:26,00:08:39,00:00:13,Testing
163,2-Missionario-X,00:08:39,00:08:50,00:00:11,Consulting
164,2-Missionario-X,00:08:50,00:08:54,00:00:04,Testing
165,2-Missionario-X,00:08:54,00:09:06,00:00:11,Consulting
166,2-Missionario-X,00:09:06,00:09:11,00:00:05,Mounting
167,2-Missionario-X,00:09:11,00:09:20,00:00:10,Mapping
168,2-Missionario-X,00:09:20,00:10:20,00:01:00,Testing
169,2-Missionario-X,00:10:20,00:10:24,00:00:04,Mounting
170,2-Missionario-X,00:10:24,00:10:33,00:00:08,Mapping
171,2-Missionario-X,00:10:33,00:11:37,00:01:05,Testing
172,2-Missionario-X,00:11:38,00:11:43,00:00:06,Planning
