ordem,entrevistado,startTime,endTime,duracao,fase,session
1,01-William-X,00:00:00,00:00:15,00:00:15,Mounting,X
2,01-William-X,00:00:15,00:00:45,00:00:30,Mapping,X
3,01-William-X,00:00:45,00:00:47,00:00:02,Testing,X
4,01-William-X,00:00:47,00:01:08,00:00:21,Mapping,X
5,01-William-X,00:01:08,00:01:16,00:00:08,Testing,X
6,01-William-X,00:01:16,00:01:34,00:00:18,Mounting,X
7,01-William-X,00:01:34,00:01:56,00:00:22,Mapping,X
8,01-William-X,00:01:56,00:01:59,00:00:02,Testing,X
9,01-William-X,00:01:59,00:02:32,00:00:34,Mapping,X
10,01-William-X,00:02:32,00:02:43,00:00:11,Testing,X
11,01-William-X,00:02:43,00:02:51,00:00:08,Mapping,X
12,01-William-X,00:02:51,00:02:57,00:00:06,Consulting,X
13,01-William-X,00:02:57,00:03:06,00:00:09,Mounting,X
14,01-William-X,00:03:06,00:03:33,00:00:27,Mapping,X
15,01-William-X,00:03:33,00:03:42,00:00:09,Testing,X
16,01-William-X,00:03:42,00:03:50,00:00:08,Mounting,X
17,01-William-X,00:03:50,00:04:08,00:00:18,Testing,X
18,01-William-X,00:04:08,00:04:41,00:00:34,Consulting,X
19,01-William-X,00:04:41,00:04:52,00:00:11,Testing,X
20,01-William-X,00:04:52,00:05:19,00:00:27,Consulting,X
21,01-William-X,00:05:19,00:05:49,00:00:29,Testing,X
22,01-William-X,00:05:49,00:06:03,00:00:14,Consulting,X
23,01-William-X,00:06:03,00:06:08,00:00:05,Mapping,X
24,01-William-X,00:06:08,00:06:14,00:00:06,Testing,X
25,01-William-X,00:06:14,00:06:23,00:00:09,Mapping,X
26,01-William-X,00:06:23,00:06:28,00:00:05,Mounting,X
27,01-William-X,00:06:28,00:06:48,00:00:20,Mapping,X
28,01-William-X,00:06:48,00:07:16,00:00:28,Testing,X
29,01-William-X,00:07:16,00:07:27,00:00:10,Mounting,X
30,01-William-X,00:07:27,00:07:29,00:00:02,Testing,X
31,01-William-X,00:07:29,00:07:42,00:00:13,Consulting,X
32,01-William-X,00:07:42,00:07:50,00:00:08,Mapping,X
33,01-William-X,00:07:50,00:07:57,00:00:07,Mounting,X
34,01-William-X,00:07:57,00:08:10,00:00:13,Mapping,X
35,01-William-X,00:08:10,00:08:18,00:00:08,Testing,X
36,01-William-X,00:08:18,00:08:37,00:00:19,Mapping,X
37,01-William-X,00:08:37,00:08:39,00:00:03,Testing,X
38,01-William-X,00:08:39,00:09:06,00:00:26,Consulting,X
39,01-William-X,00:09:06,00:09:19,00:00:14,Testing,X
40,01-William-X,00:09:19,00:09:36,00:00:17,Consulting,X
41,01-William-X,00:09:36,00:09:57,00:00:21,Testing,X
42,01-William-X,00:09:58,00:10:04,00:00:07,Mounting,X
43,01-William-X,00:10:04,00:10:14,00:00:10,Mapping,X
44,01-William-X,00:10:14,00:10:36,00:00:22,Testing,X
45,01-William-X,00:10:36,00:11:13,00:00:37,Consulting,X
46,01-William-X,00:11:13,00:11:24,00:00:11,Mounting,X
47,01-William-X,00:11:24,00:11:36,00:00:12,Mapping,X
48,01-William-X,00:11:36,00:11:47,00:00:11,Testing,X
49,01-William-X,00:11:47,00:11:59,00:00:12,Mapping,X
50,01-William-X,00:11:59,00:12:10,00:00:11,Testing,X
51,01-William-X,00:12:10,00:13:01,00:00:51,Consulting,X
52,01-William-X,00:13:01,00:13:21,00:00:19,Testing,X
53,01-William-X,00:13:21,00:13:26,00:00:05,Consulting,X
54,01-William-X,00:13:26,00:13:48,00:00:22,Testing,X
55,01-William-X,00:13:48,00:13:54,00:00:06,Mapping,X
56,01-William-X,00:13:54,00:14:05,00:00:11,Testing,X
57,01-William-X,00:14:05,00:14:58,00:00:53,Consulting,X
58,01-William-X,00:14:58,00:15:52,00:00:54,Mapping,X
59,01-William-X,00:15:52,00:16:03,00:00:12,Testing,X
60,01-William-X,00:16:03,00:16:08,00:00:05,Mapping,X
61,01-William-X,00:16:08,00:16:27,00:00:19,Testing,X
121,02-Missionario-X,00:00:00,00:00:53,00:00:53,Mounting,X
122,02-Missionario-X,00:00:53,00:01:11,00:00:18,Mapping,X
123,02-Missionario-X,00:01:11,00:01:40,00:00:29,Consulting,X
124,02-Missionario-X,00:01:40,00:01:53,00:00:13,Mapping,X
125,02-Missionario-X,00:01:53,00:02:21,00:00:28,Testing,X
126,02-Missionario-X,00:02:22,00:02:32,00:00:11,Mapping,X
127,02-Missionario-X,00:02:32,00:02:40,00:00:08,Consulting,X
128,02-Missionario-X,00:02:40,00:02:55,00:00:15,Testing,X
129,02-Missionario-X,00:02:55,00:03:44,00:00:50,Bug,X
130,02-Missionario-X,00:03:44,00:03:52,00:00:08,Mapping,X
131,02-Missionario-X,00:03:52,00:03:54,00:00:02,Testing,X
132,02-Missionario-X,00:03:54,00:04:06,00:00:12,Mapping,X
133,02-Missionario-X,00:04:06,00:04:12,00:00:05,Testing,X
134,02-Missionario-X,00:04:12,00:04:24,00:00:12,Mounting,X
135,02-Missionario-X,00:04:24,00:04:36,00:00:12,Mapping,X
136,02-Missionario-X,00:04:36,00:04:40,00:00:05,Testing,X
137,02-Missionario-X,00:04:40,00:04:44,00:00:03,Mapping,X
138,02-Missionario-X,00:04:44,00:04:44,00:00:00,Mapping,X
139,02-Missionario-X,00:04:44,00:04:57,00:00:13,Testing,X
140,02-Missionario-X,00:04:57,00:05:00,00:00:03,Mounting,X
141,02-Missionario-X,00:04:59,00:05:05,00:00:06,Mapping,X
142,02-Missionario-X,00:05:05,00:05:28,00:00:23,Testing,X
143,02-Missionario-X,00:05:28,00:05:33,00:00:05,Testing,X
144,02-Missionario-X,00:05:33,00:05:39,00:00:06,Mounting,X
145,02-Missionario-X,00:05:39,00:05:49,00:00:11,Mapping,X
146,02-Missionario-X,00:05:50,00:05:56,00:00:07,Testing,X
147,02-Missionario-X,00:05:56,00:06:00,00:00:04,Mapping,X
148,02-Missionario-X,00:06:00,00:06:06,00:00:06,Testing,X
149,02-Missionario-X,00:06:06,00:06:28,00:00:22,Mapping,X
150,02-Missionario-X,00:06:28,00:06:42,00:00:14,Testing,X
151,02-Missionario-X,00:06:43,00:06:49,00:00:06,Consulting,X
152,02-Missionario-X,00:06:49,00:06:51,00:00:03,Mapping,X
153,02-Missionario-X,00:06:51,00:07:06,00:00:15,Testing,X
154,02-Missionario-X,00:07:06,00:07:13,00:00:07,Mapping,X
155,02-Missionario-X,00:07:13,00:07:31,00:00:18,Testing,X
156,02-Missionario-X,00:07:31,00:07:34,00:00:04,Mapping,X
157,02-Missionario-X,00:07:34,00:07:44,00:00:09,Testing,X
158,02-Missionario-X,00:07:44,00:07:50,00:00:07,Mapping,X
159,02-Missionario-X,00:07:50,00:07:59,00:00:09,Testing,X
160,02-Missionario-X,00:07:59,00:08:22,00:00:23,Mounting,X
161,02-Missionario-X,00:08:22,00:08:26,00:00:03,Mapping,X
162,02-Missionario-X,00:08:26,00:08:39,00:00:13,Testing,X
163,02-Missionario-X,00:08:39,00:08:50,00:00:11,Consulting,X
164,02-Missionario-X,00:08:50,00:08:54,00:00:04,Testing,X
165,02-Missionario-X,00:08:54,00:09:06,00:00:11,Consulting,X
166,02-Missionario-X,00:09:06,00:09:11,00:00:05,Mounting,X
167,02-Missionario-X,00:09:11,00:09:20,00:00:10,Mapping,X
168,02-Missionario-X,00:09:20,00:10:20,00:01:00,Testing,X
169,02-Missionario-X,00:10:20,00:10:24,00:00:04,Mounting,X
170,02-Missionario-X,00:10:24,00:10:33,00:00:08,Mapping,X
171,02-Missionario-X,00:10:33,00:11:37,00:01:05,Testing,X
172,02-Missionario-X,00:11:38,00:11:43,00:00:06,Planning,X
173,02-Missionario-X,00:11:44,00:11:47,00:00:04,Mounting,X
174,02-Missionario-X,00:11:47,00:11:55,00:00:07,Mapping,X
175,02-Missionario-X,00:11:55,00:12:08,00:00:13,Testing,X
176,02-Missionario-X,00:12:08,00:12:15,00:00:08,Mounting,X
177,02-Missionario-X,00:12:15,00:12:24,00:00:09,Mapping,X
178,02-Missionario-X,00:12:24,00:12:36,00:00:12,Consulting,X
179,02-Missionario-X,00:12:36,00:12:52,00:00:17,Testing,X
180,02-Missionario-X,00:12:53,00:13:00,00:00:07,Mapping,X
181,02-Missionario-X,00:13:00,00:13:07,00:00:07,Mounting,X
182,02-Missionario-X,00:13:07,00:13:15,00:00:09,Mapping,X
183,02-Missionario-X,00:13:15,00:13:36,00:00:21,Testing,X
184,02-Missionario-X,00:13:36,00:13:44,00:00:08,Mapping,X
185,02-Missionario-X,00:13:44,00:13:46,00:00:02,Testing,X
186,02-Missionario-X,00:13:46,00:13:49,00:00:03,Mounting,X
187,02-Missionario-X,00:13:49,00:13:51,00:00:02,Testing,X
188,02-Missionario-X,00:13:51,00:13:56,00:00:05,Mapping,X
189,02-Missionario-X,00:13:56,00:14:49,00:00:53,Testing,X
190,02-Missionario-X,00:14:49,00:15:08,00:00:20,Mapping,X
191,02-Missionario-X,00:15:08,00:15:34,00:00:26,Testing,X
192,02-Missionario-X,00:15:34,00:15:34,00:00:00,Testing,X
249,03-Tomas-X,00:00:00,00:01:12,00:01:12,Mounting,X
250,03-Tomas-X,00:01:12,00:02:25,00:01:13,Bug,X
251,03-Tomas-X,00:02:25,00:02:48,00:00:24,Mapping,X
252,03-Tomas-X,00:02:48,00:02:50,00:00:01,Testing,X
253,03-Tomas-X,00:02:50,00:02:53,00:00:04,Mounting,X
254,03-Tomas-X,00:02:53,00:03:00,00:00:07,Consulting,X
255,03-Tomas-X,00:03:00,00:03:09,00:00:09,Mounting,X
256,03-Tomas-X,00:03:09,00:03:36,00:00:27,Mapping,X
257,03-Tomas-X,00:03:36,00:04:07,00:00:30,Consulting,X
258,03-Tomas-X,00:04:07,00:04:34,00:00:27,Consulting,X
259,03-Tomas-X,00:04:34,00:04:41,00:00:07,Testing,X
260,03-Tomas-X,00:04:41,00:04:49,00:00:08,Mapping,X
261,03-Tomas-X,00:04:49,00:04:59,00:00:10,Mounting,X
262,03-Tomas-X,00:04:59,00:05:15,00:00:16,Mapping,X
263,03-Tomas-X,00:05:15,00:05:22,00:00:07,Testing,X
264,03-Tomas-X,00:05:22,00:05:47,00:00:25,Mapping,X
265,03-Tomas-X,00:05:47,00:06:00,00:00:12,Testing,X
266,03-Tomas-X,00:06:00,00:06:05,00:00:05,Mapping,X
267,03-Tomas-X,00:06:05,00:06:11,00:00:07,Testing,X
268,03-Tomas-X,00:06:11,00:06:26,00:00:14,Mounting,X
269,03-Tomas-X,00:06:26,00:06:39,00:00:13,Mapping,X
270,03-Tomas-X,00:06:39,00:06:53,00:00:14,Testing,X
271,03-Tomas-X,00:06:53,00:07:10,00:00:16,Mapping,X
272,03-Tomas-X,00:07:10,00:07:14,00:00:04,Testing,X
273,03-Tomas-X,00:07:14,00:08:15,00:01:01,Mapping,X
274,03-Tomas-X,00:08:14,00:08:26,00:00:12,Testing,X
